Date,AAPL,AMZN,BA,BRK-B,CAT,CVX,DUK,F,GE,GOOGL,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,SO,WMT,XOM
2010-01-04,6.447411060333252,6.695000171661377,43.77755355834961,66.22000122070312,39.883914947509766,43.600772857666016,26.285844802856445,5.679180145263672,53.996028900146484,15.645691871643066,41.65568542480469,29.156551361083984,17.949800491333008,23.300678253173828,0.423922598361969,10.031837463378906,39.4319953918457,17.065582275390625,13.113410949707031,39.272117614746094
2010-01-05,6.458558559417725,6.734499931335449,45.21134567260742,66.54000091552734,40.36076736450195,43.90959930419922,25.852140426635742,6.054844379425049,54.27562713623047,15.576793670654297,41.172672271728516,29.72132110595703,17.732667922973633,23.308204650878906,0.43011295795440674,9.888754844665527,39.444915771484375,16.721704483032227,12.982834815979004,39.42546081542969
2010-01-06,6.355827331542969,6.612500190734863,46.58280563354492,66.19999694824219,40.48334884643555,43.915122985839844,25.945077896118164,6.281348705291748,53.996028900146484,15.184123992919922,41.50754165649414,29.88462257385254,17.72637176513672,23.165164947509766,0.43286430835723877,9.856959342956543,39.2578239440918,16.957796096801758,12.95382022857666,39.76620101928711
2010-01-07,6.344078063964844,6.5,48.46855545043945,66.45999908447266,40.6468505859375,43.74968719482422,26.068992614746094,6.4415602684021,56.79195022583008,14.830643653869629,41.211307525634766,30.476600646972656,17.68231964111328,22.924253463745117,0.4243811070919037,9.819860458374023,39.04491424560547,16.885944366455078,12.961074829101562,39.64125442504883
2010-01-08,6.386255741119385,6.676000118255615,48.001007080078125,66.44000244140625,41.10324478149414,43.8268928527832,26.084482192993164,6.458136081695557,58.01515579223633,15.028352737426758,41.35299301147461,30.401752471923828,17.355039596557617,23.082355499267578,0.42529821395874023,9.89935302734375,38.993309020996094,16.85001564025879,12.895785331726074,39.482242584228516
2010-01-11,6.32991886138916,6.515500068664551,47.43217468261719,66.5,43.68497848510742,44.604496002197266,26.347803115844727,6.690162181854248,58.57433319091797,15.005637168884277,41.35943603515625,30.299684524536133,17.70748519897461,22.788738250732422,0.4193372428417206,9.978843688964844,38.83846664428711,17.070707321166992,13.10858154296875,39.92521286010742
2010-01-12,6.257913589477539,6.367499828338623,47.08930587768555,66.0,42.39753341674805,44.345298767089844,26.378786087036133,6.5575761795043945,58.6092643737793,14.740277290344238,41.57838821411133,29.592039108276367,17.89945411682129,22.638166427612305,0.40512242913246155,9.947047233581543,39.28363037109375,16.96293067932129,13.234320640563965,39.72644805908203
2010-01-13,6.346185207366943,6.45550012588501,47.65814971923828,66.0,42.45881652832031,44.008888244628906,26.440736770629883,6.452609539031982,58.81898880004883,14.655652046203613,41.84246063232422,30.109172821044922,17.946651458740234,22.848968505859375,0.4106249213218689,10.180218696594238,39.6900749206543,17.204160690307617,13.302027702331543,39.56743240356445
2010-01-14,6.309433937072754,6.367499828338623,47.9698486328125,65.95999908447266,42.22042465209961,43.87100601196289,26.440736770629883,6.496805667877197,58.36464309692383,14.724550247192383,41.926185607910156,30.408557891845703,17.978126525878906,23.308204650878906,0.4042053520679474,10.270316123962402,39.728790283203125,17.16309356689453,13.10858154296875,39.573123931884766
2010-01-15,6.203987121582031,6.35699987411499,47.39322280883789,64.94000244140625,41.23279571533203,43.69453430175781,26.17742919921875,6.408413887023926,57.45595932006836,14.478663444519043,41.57838821411133,29.72132110595703,17.713787078857422,23.23292350769043,0.3922831416130066,10.328604698181152,39.23847579956055,17.111774444580078,12.980416297912598,39.2493896484375
2010-01-19,6.47844123840332,6.380499839782715,47.260738372802734,66.63999938964844,41.7883186340332,43.94268035888672,26.471723556518555,6.491280555725098,57.80545425415039,14.668882369995117,42.08717346191406,29.449138641357422,17.754697799682617,23.413604736328125,0.3996199071407318,10.598878860473633,39.819114685058594,17.2708797454834,13.065051078796387,39.34025192260742
2010-01-20,6.378724575042725,6.289000034332275,46.910091400146484,69.5199966430664,40.98588943481445,43.098915100097656,26.2238826751709,6.3586931228637695,57.6656494140625,14.488897323608398,41.95838165283203,29.530811309814453,17.465181350708008,23.029651641845703,0.39801499247550964,10.567085266113281,39.2797737121582,17.15796661376953,13.02394962310791,38.63603210449219
2010-01-21,6.268458366394043,6.330999851226807,46.13084411621094,72.72000122070312,38.9901008605957,42.045570373535156,25.83664321899414,6.176384925842285,55.988101959228516,14.553053855895996,41.198421478271484,27.584758758544922,17.109588623046875,22.593000411987305,0.39090755581855774,10.196120262145996,38.88341522216797,17.014251708984375,12.79664421081543,37.88070297241211
2010-01-22,5.957551002502441,6.071499824523926,45.01654052734375,70.0999984741211,37.206905364990234,41.13560485839844,25.635284423828125,5.811769008636475,56.302669525146484,13.730016708374023,40.70252227783203,26.645767211914062,17.068681716918945,21.80250358581543,0.37738069891929626,10.047738075256348,39.188812255859375,16.701168060302734,12.801480293273926,37.53993606567383
2010-01-25,6.117825984954834,6.015500068664551,45.024322509765625,68.83999633789062,37.81729507446289,41.11354064941406,25.805667877197266,6.093519687652588,57.211334228515625,13.480134963989258,40.71540451049805,26.67978286743164,17.103286743164062,22.07353401184082,0.3838001787662506,9.989444732666016,39.396759033203125,16.834611892700195,12.786972999572754,37.397953033447266
2010-01-26,6.204288482666016,5.973999977111816,44.96977233886719,68.0,38.30424118041992,40.892974853515625,26.038015365600586,6.181910514831543,57.14143753051758,13.540545463562012,40.4384651184082,26.155853271484375,17.037212371826172,22.209049224853516,0.37164878845214844,9.952347755432129,39.43574523925781,16.921865463256836,12.96349811553955,37.43770217895508
